PHASE1 ID,ID,URL,Collection,Title,Contents,Codes - Michel,Codes - Gustavo,Codes - Ivano
GitPR98,DP14,https://github.com/whoenig/crazyflie_ros/pull/44,GitHubPRs,Added timeout to logblock stop in Crazyflie_cpp,"connected Crazyflie, since I will change the battery before removing the crazyflie from ROS). I a",[FP],[FP],[FP]
GitPR92,DP15,https://github.com/UBC-Thunderbots/Software/pull/643,GitHubPRs,Add dead robot handling and more messages to radio_communication,"ore warning messages, most importantly a low battery warning.TBD on field No coverage uploaded fo",[added battery information],[battery info],[battery warning] [battery voltage] [battery temp]
GitPR90,DP16,https://github.com/uf-mil/NaviGator/pull/215,GitHubPRs,GUI,Monitors the battery voltage and displays it. Its got tabs too fo,[battery information][UI][closed due to code policy],[battery info] [UI],[provide battery information] [ui]
GitIssue957,DP17,https://github.com/uf-mil/NaviGator/issues/289,GitHubIssues,Create curses based status/debug TUI,"based status GUI which displays things like battery voltage, autonomous/remote control mode, etc",[battery information][GUI],[battery info] [UI],[provide battery information] [ui]
GitIssue928,DP18,https://github.com/yujinrobot/kobuki/issues/64,GitHubIssues,Implement drive_mode,Just use our api or the cmd_vel.Robot can be charged without modeRobot can be work during charg,[drive mode][charging strategy],[charging] [drive mode],[charging_during_mission]
GitIssue926,DP19,https://github.com/turtlebot/turtlebot/issues/102,GitHubIssues,Battery info not working on reference laptop?,"Need to dig more on this, but looks like the battery reader script needs a review. On ASUS laptop",[battery info][battery script location][no charging symbol on dashboard],,[provide battery information]
C87203,DP20,https://github.com/jsk-ros-pkg/jsk_common/commit/179ab3e90898c57715c5bcc6fc9372b89533312a,Commits,jsk_common,ab3e90898c57715c5bcc6fc9372b89533312a': 'add battery full capacity summary script'},[Provide battery information],[Provide battery information],[provide battery information]
C82758,DP21,https://github.com/jhu-asco/aerial_autonomy/commit/23597ad499b1025ddea1915a4cae899b3edf14db,Commits,aerial_autonomy,"grator to xy in rpyt vel controller, reduce battery percentage'}",[not available/not found],[battery info] ??,[battery_percent] [threshold]
C82372,DP22,https://github.com/jhu-asco/aerial_autonomy/commit/8979b0064f830ff94394d7c626ad7ec222aa8af4,Commits,aerial_autonomy,ad7ec222aa8af4': 'Abort instead of Land when battery is low'},[replace land by abort][battery low][hovering],[limite features if battery is low] [testing],[battery_percent] [threshold] [test] [abort_mission] [safety]
W31,DP23,https://wiki.ros.org/pr2_gazebo_plugins,Wiki,pr2_gazebo_plugins,kBaseline>GazeboRosPowerNode<robotNamespace><powerStateTopic><powerStateRate><fullChargeCapacit,[battery info][sensors actuators simulation][gazebo plugin],[battery info] [sensors],[simulation] [provide battery information]
W3,DP24,https://wiki.ros.org/ps3joy,Wiki,ps3joy,"f>
<n>: inactivity timeout in seconds (saves battery life).
<f>: file name to redirect output to.",[battery info][save energy timeout] [ps3joy gamepad],[baterry info] [innactivity timeout],[inactivity timeout for saving battery] [provide battery information]
W23,DP25,https://wiki.ros.org/battery_monitor_rmp,Wiki,battery_monitor_rmp,s and then uses espeak to tell the user if a battery is getting low. It also publishes this infor,[battery info][speak warning low battery][ubuntu pkg],[battery info] [low battery],[provide battery information]
W21,DP26,https://wiki.ros.org/pr2_power_board,Wiki,pr2_power_board,lates the main fan speed of the PR2 based on battery and power board temperature. power_node2pow,[battery and temperature info][constrains fan speed][pr2 power board],[battery info] ,[provide battery information] [diagnostics] [multiple battery]
W2,DP27,https://wiki.ros.org/laptop_battery_monitor,Wiki,laptop_battery_monitor,Simple script to check battery status,[battery info][script],[battery info] ,[provide battery information]
W17,DP28,https://wiki.ros.org/wiimote,Wiki,wiimote,"umble (vibrator),
 buttons, joystick, and battery state. The node additionally enables ROS",[battery info][wiimote device],[battery info] ,[provide battery information] [percentage_raw_battery] [unclear unit of measure]
W14,DP29,https://wiki.ros.org/m4atx_battery_monitor,Wiki,m4atx_battery_monitor,ckage will read the information from a m4atx battery supply and publish it as a ros message. Loca,[battery info][ros message][pkg],[battery info] ,[provide battery information] [configurable frequency] [battery voltage]
W12,DP30,https://wiki.ros.org/kobuki_node,Wiki,kobuki_node,heel_right_joint_namestringwheel_right_joint~battery_capacitydouble16.5~battery_lowdouble13.5~bat,[power events][power changes][OR battery level],[battery info] [battery monitor] [battery configurations],[provide battery information] [power-related events] [threshold] [battery charging state]
W11,DP31,https://wiki.ros.org/power_monitor,Wiki,power_monitor,"wer_monitor collects messages from the ocean_battery_server and
 the pr2_power_board, and pub",[battery info/power monitor][ocean server][pr2_power_board][log file],[battery info] [power_board] [friendlier message format] ,[provide battery information] [abstract raw battery readings] [configurable estimation method] [remaining lifetime] [keep history] [configurable frequency] [battery update timeout] [abstract power modes]
ROSD253,DP32,https://discourse.ros.org/t/turtlebot3-software-and-firmware-update-and-waffle-pi/3729,ROSDiscourse,TurtleBot3 software and firmware update and 'waffle_pi',"sary to show the new Publisher /diagnostic, /battery_state information and to connect a speaker t",[turtlebot sensor][battery info][comment: battery diagnostic speaker],[battery info],[abstract power modes] [provide battery information]
ROSD243,DP33,https://discourse.ros.org/t/autoware-v1-12-alpha-1/9396,ROSDiscourse,Autoware v1.12-alpha.1,()Split drive state ()melodic support ()add battery charging state ()modify mssion state for fms,[battery info][charging state][version update],[battery info] [battery charging state],[battery charging state]
ROSD235,DP34,https://discourse.ros.org/t/looking-for-kobuki-power-supply-battery-charger/8754,ROSDiscourse,Looking for Kobuki power supply / battery charger,"AC, 50/60Hz, 1.5A max; Output: 19V DC, 3.16A power supply.Here’s an example on Amazon: As for t",[hardware][charger][FP],[battery charger] ???,[FP]
ROSD23,DP35,https://discourse.ros.org/t/announcing-tf-remapper-cpp-and-static-transform-mux-more-power-to-your-tf/9219,ROSDiscourse,Announcing tf_remapper_cpp and static_transform_mux: More power to your TF!,g TF? Have you looked at the ? Stop wasting energy and CPU cycles by moving to . The API is a s,[tactic][energy saving][relax CPU][new tf_remapper module],[energy efficiency] [cpu utilization],[performance] [maintainability] [cpu usage] [transforms expensive]
ROSD227,DP36,https://discourse.ros.org/t/sbs-smart-battery-system-smbus-over-usb/12836,ROSDiscourse,SBS (Smart Battery System) SMBus over USB?,"ed, but I’m trying to integrate a SBS laptop battery into a ROS-based robot I’m building, and it’",[smart battery system - laptop][ROS integration][power management][battery info msg],[battery info],[provide battery information]
ROSD226,DP37,https://discourse.ros.org/t/tb3-turtlebot3-automatic-parking-under-ar-detection/4476,ROSDiscourse,[TB3] TurtleBot3 Automatic Parking under AR detection,"ironments, such as no-light. Make your own recharge stations or like that by using these packag",[FP],??,[recharging station]
ROSD225,DP38,https://discourse.ros.org/t/turtlebot3-impressions-so-far/2907,ROSDiscourse,Turtlebot3 - Impressions so far,ointing out in the instructions that charger power supply will also serve as a Joule power supp,[power supply][FP],??,[FP]
ROSD220,DP39,https://discourse.ros.org/t/regional-robotics-sailing-winter-academy-at-zhejiang-university/6980,ROSDiscourse,Regional Robotics Sailing Winter Academy at Zhejiang University,ea on a much longer duration compared to the battery-powered counterpart and potentially could se,[wind power][sailing boat][FP],[Sailing robots] ??,[wind for saving power]
ROSD22,DP40,https://discourse.ros.org/t/autoware-1-12-released/9817,ROSDiscourse,Autoware 1.12 released,including support for better stop states and battery chargingConvex hull predictionSupport for RO,[autoware relase][battery info][battery charging state],[battery info] battery charging state],[battery charging state]
ROSD163,DP41,https://discourse.ros.org/t/research-about-the-battery-in-robots/5566,ROSDiscourse,Research about the battery in robots,ching on how to make robots programming more efficient and of a better quality. If you are into ro,[survey GForms][question: consider running out of battery ][battery consumption question][result not available],[robots programming] ??,[FP]
ROSA94,DP42,https://answers.ros.org/question/271371/how-to-create-a-battery-usage-plugin/,ROSAnswers,How to create a Battery usage plugin,robot model in Gazebo and i want to create a battery plugin and then connect battery with motors.,[battery info plugin][help][no answer],[battery info],[simulation] [provide battery information]
ROSA868,DP43,https://answers.ros.org/question/234963/turtlebot-2-kinect-typexbox360-version-or-pc-version/,ROSAnswers,Turtlebot 2 kinect type(xbox360 version or PC version?),"ad idea: extreme noise, reflections and more power consumption.Ah thank you for these informat",[kinect v2][more power consumption][better resolution/v1][large sensor depth][wide sight],[power consumption] [changing sw version],[kinect] [new version consumes more] [correctness]
ROSA862,DP44,https://answers.ros.org/question/185761/board-minimum-hardware-requirements-single-board-full-motherboard-nuc-mini-itx/,ROSAnswers,board: minimum hardware requirements? single board? full motherboard? nuc? mini-itx?,"or any extra regulation when running from a battery. This part of the NUC spec is NOT OBVIOUS, a",[low-powered robot][low processing power][NUC mini-pc][software optimization as a tactic],[low power consumption] [requirement] [operate longer],[computation in the cloud] [low-powered motherboard]
ROSA85,DP45,https://answers.ros.org/question/243708/rviz-on-pc-not-reconnecting-after-robot-reboot/,ROSAnswers,rviz on PC not reconnecting after robot reboot,"master on a robot. When I replace the robot battery and boot the robot, rviz stops receiving dat",[replace battery][rviz stops receiving data][no answer],??,[FP]
ROSA839,DP46,https://answers.ros.org/question/273784/turtlebot-3-questions/,ROSAnswers,Turtlebot 3 Questions,"nection. 
Please check the operation voltage/power consumption of the SBC as OpenCR might not s",[customizing turtlebot3 kit][other single board comp][check energy consumption OpenCR][FP],??,[hardware compatibility]
ROSA824,DP47,https://answers.ros.org/question/232235/laser-scanner-choose/,ROSAnswers,Laser scanner choose,"is completely different: cheaper, has lower power consumption but also much worse specs than t",[2d laser scanner][URG-04LX sensor][low power consumption][poor specs],[lower power consumption] [worst hardware specs],[tradeoff with performance] [laser scanner]
ROSA808,DP48,https://answers.ros.org/question/45950/single-board-pc-for-ros/,ROSAnswers,Single board PC for ROS,"h least a 1.0Ghz modern CPU + 2GB of RAM. If power consumption is not a concern, I would recomm",[SBC for ROS][CPU power][power consumption],[CPU usage] [Intel over Atoms],[CPU as relevant energy drainer]
ROSA8,DP49,https://answers.ros.org/question/264837/start-ur5-remotely/,ROSAnswers,start ur5 remotely,art UR5 remotely? My main purpose is to save energy on a mobile platform where UR5 is mounted on,[energy saving][ur5 robotic arm][remote power on][solved][ur5 dashboard],[energy saving] [mobile platform] [UR5 is on],[save energy used by arm on a mobile platform] [power on the arm when controller is already on]
ROSA796,DP50,https://answers.ros.org/question/34462/rosbridge-image-uri-data/,ROSAnswers,rosbridge image (uri-data),e mpeg_server because this solution is quite power consuming. (50-60% of the CPU if i ask for a,[power consumption][image message][mjpeg_server][stream frequency],[mpeg_server is power consuming] [CPU on high demand],[CPU as relevant energy drainer] [streaming images as binaries saves energy]
ROSA79,DP51,https://answers.ros.org/question/224477/ros-memory-usage/,ROSAnswers,Ros memory usage,erything works and pass sucessfully the test battery.The problem is when I call the same function,[FP],??,[FP]
REPO_P138,DP52,https://github.com/markusk/minibot,Repositories,minibot,{'battery_publisher': 'mestamp ≈ import power_supply.h we need a data type to publish the '},[battery info],[battery info],[provide battery information] [battery voltage] [simulated values]
REPO_P1205,DP53,https://github.com/elpimous/Neo_robot,Repositories,Neo_robot,"{'pyFestival': 'le re.search(""Utterance"", data) == None:time.sleep(0.5)fc(""el_diphone"")festCli.se'}",[not available],??,[FP]
REPO_P1138,DP54,https://github.com/chrisl8/ArloBot,Repositories,ArloBot,"{'arlobot_safety': 'r not Track battery I am going to set the AC power status as a parameter, so that it can be che'}",[battery info][power state],[battery info],[safety] [battery percentage]
REPO_P1132,DP55,https://github.com/AUV-IITK/Varun-Software,Repositories,Software,{'maintenance_control_node': 's ##### Executed as soon as Duckiebot leaves charging rails For manual debugging Request to go '},[not available],??,TO CHECK - FIXED
REPO_P1101,DP56,https://github.com/tum-phoenix/phx_quadrocopter_ros,Repositories,phx_quadrocopter_ros,{'controller_node': '!/usr/bin/env python in Hz self.s = 3 # c 3s/4s self.v_c = 4.7 # voltag'},[motor controller][FP],??,[battery parameters]
REPO_P1087,DP57,https://bitbucket.org/udg_cirs/cola2_core,Repositories,cola2_core,{'vehicle_status_parser': 'or last nav data Create Publisher Initialize battery data Which value do I put? This should not b'},[battery diagnostic/info][charge][voltage],[battery info] battery diagnostic],[technical debt] [battery_raw_percentage] [provide battery information]
REPO_P1086,DP58,https://bitbucket.org/udg_cirs/cola2_core,Repositories,cola2_core,"{'sim_internal_sensors': ' received in X seconds, abort mission Reduce battery level Publish diagnostic message'}",[battery simulation][battery info],[battery info],[simulation] [provide battery information] [simulated energy but always static values]
REPO_P1077,DP59,https://github.com/markusk/minibot,Repositories,minibot,{'battery': ' Digital converter object read AD converter (battery voltage) use channel 0 on IC 13.44 Volt batt'},[battery info][voltage],[battery info],[provide battery information]
REPO_P1073,DP60,https://github.com/markusk/minibot,Repositories,minibot,{'minibot': 'e.########## Threads##### read AD converter (battery voltage) use channel 0 on IC 2.73 V = 12.32 '},[battery info][voltage][same as REPO_P1077],[voltage]  [battery voltage],[provide battery information] [testing]
REPO_P1070,DP61,https://github.com/markusk/minibot,Repositories,minibot,{'lcd_test': '-Battery with 3 x 3.3Volt = 9.9 Volt (empty battery) 3S LiPo-Battery with 3 x 4.2Volt = 12.6 Vol'},[power monitor][battery level][OLED display][beep warning],[OLED displays] [LCD test] [testing] ,[provide battery information] [testing]
GitPR94,DP62,https://github.com/uf-mil/NaviGator/pull/49,GitHubPRs,INSTALL: Common Install Script and Miscellaneous Fixes,install script (plus a small addition to the battery monitor).You'll need to merge in master then,[battery info/monitor][update][voltage returns none],[default battery behavior] [sensor control],[provide battery information] [voltage approximated from hardware]
GitPR89,DP63,https://github.com/uf-mil/SubjuGator/pull/247,GitHubPRs,BUS VOLTAGE: widen window for bus voltage estimate,We still want to kill pretty quickly if the battery is actually low.The bus voltage actually dro,[battery info][voltage estimator][react quickly if the battery is low][thruster gazebo simulation],[battery info] [kill process if battery is low] ,[technical debt] [battery voltage] [stop mission if low voltage]
GitPR88,DP64,https://github.com/utexas-bwi/segbot/pull/63,GitHubPRs,segbot battery profiler,"nclude a method to build the 'profile' for a battery used by a segbot, irrespective of version. T",[battery info/profiling][estimation][diagnostic][segbot],[battery info] [diagnosis] [battery profile],[battery online profiling] [charge estimation independent of the type of battery] [provide battery information] [technical debt]
GitPR84,DP65,https://github.com/turtlebot/turtlebot/pull/226,GitHubPRs,Simplify launch,ch. thoughts?Three cheers for making netbook battery node optional We've already landed that int,[turtlebot][minimal launch][nb battery node optional][FP],[battery info] [battery node optional],[provide battery information] 
GitPR83,DP66,https://github.com/turtlebot/turtlebot/pull/61,GitHubPRs,Fixing Roomba config file & laptop battery monitor fix,at I have also added some code to the laptop_battery.py (commit ) so that the new power manageme,[battery info][monitor fix][new /sys filesystem organization],[battery info],[provide battery information] 
GitPR80,DP67,https://github.com/RoboJackets/igvc-software/pull/364,GitHubPRs,Ethernet,"s not just the motors, but also monitors the battery, sets the PID, and handles all communication",[battery info][voltage calculation][ethernet communication],[battery info] [set battery configuration],[provide battery information] [battery voltage]
GitPR78,DP68,https://github.com/OUXT-Polaris/robotx_core/pull/58,GitHubPRs,Feature/battery monitor driver,add battery status monitor node,[battery info][publish power and battery states] ,[battery info],[provide battery information] [abstract raw battery readings]
GitPR76,DP69,https://github.com/jsk-ros-pkg/jsk_robot/pull/1138,GitHubPRs,[jsk_fetch_startup] add speak battery app,"add speak battery app for fetch
now this app is running on fet",[battery info][speaker],[battery info],[provide battery information] 
GitPR75,DP70,https://github.com/jsk-ros-pkg/jsk_robot/pull/1137,GitHubPRs,[jsk_fetch_startup] add battery warning node to fetch,"Robot warns if the battery percentage is under some threshold.
under te",[battery warning][level under threshold],[battery info] [add battery warning],[provide battery information] [power-related events] [threshold] [battery charging state]
GitPR74,DP71,https://github.com/jsk-ros-pkg/jsk_robot/pull/34,GitHubPRs,add script to visualize pr2 battery,add script to visualize pr2 battery like following:,[battery info script][rviz][pr2 robot],[battery info] [visualization],[provide battery information] [separate UI for different batteries]
GitIssue997,DP72,https://github.com/mavlink/mavros/issues/275,GitHubIssues,"Without GPS, Does the /mavros/setpoint_position/local work?","1
 name: mavros: Battery
 message: Low voltage
 hardware_id: /dev/ttyUSB0:57600
 v",[FP],??,[FP]
GitIssue925,DP73,https://github.com/sbrodeur/ros-icreate-bbb/issues/18,GitHubIssues,Convert rosbag files to video files for visualization,"odometry topic).Battery voltage, current and charge information.Collision sensors (range and sw",[battery info][to video display][possibility/could be],[battery info] [charging info],[provide battery information] [rosbag]
GitIssue923,DP74,https://github.com/jsk-ros-pkg/jsk_robot/issues/348,GitHubIssues,To-do List,ffnessの問題[ ]It allows you to charge Pepper’s battery (see Chapter 7.6 Charging).It also deactivat,[FP],??,[FP]
[,DP75,https://github.com/mavlink/mavros/issues/1284,GitHubIssues,sensor_msgs::BatteryState percentage with a negative value,"s or request features.
When I am reading the battery status (/mavros/battery -- see below) I noti",[battery info][wrong value][likely misconfiguration,[battery info] [wrong behavior] [bug],[bug] [misplugged power cables]
GitIssue916,DP76,https://github.com/whoenig/crazyflie_ros/issues/27,GitHubIssues,Launch crazyflie that is turned off,"pplication and one of the CFs had ran out of battery and died, or if I would just like to remove",[crazyflies hang when one goes down][communication issue][battery high][FP],[battery high] [bug],[bug] [correctness]
GitIssue913,DP77,https://github.com/yujinrobot/kobuki/issues/137,GitHubIssues,Battery charge set to 100% just after connecting it to the adapter,"This happens because the robot signals ""charged"" for about a second just after connecting",[wrong battery info][correct state after a while][fixed],[battery info] [wrong behavior] [bug],[technical debt] [bug]
GitIssue91,DP78,https://github.com/ROBOTIS-GIT/turtlebot3/issues/505,GitHubIssues,Reg:Couldn't determine robot's pose associated with laser scan - burger,"NFO] [1572526181.378821]: Setup publisher on battery_state [sensor_msgs/BatteryState]
[INFO] [157",[FP][many battery in the log],??,[FP]
GitIssue907,DP79,https://github.com/turtlebot/turtlebot/issues/54,GitHubIssues,Break out linux_hardware,why dashboard is using topics for the laptop battery. It uses the diagnostics for everything else,[battery info][better representation][dashboard],[battery info] [add charge states],[architecture] [dependency] [battery as part of diagnostics]
GitIssue906,DP80,https://github.com/UBC-Thunderbots/Software/issues/223,GitHubIssues,Handle Robot Charge state,"In the old AI, the desired robot charge state (whether the capacitors are charged,",[powering with capacitor][state always float][added charge and discharge states],[battery info] [chaging state],[provide battery information] [battery state]
GitIssue897,DP81,https://github.com/ROBOTIS-GIT/turtlebot3/issues/205,GitHubIssues,"Using 1800 batteries, will the opencr board be damaged when the voltage is unstable?","is no problem. After accessing this 1800mah battery, after running for a period of time, it auto",[physical battery][opencr shuts down/cannot power on][closed without solution][hardware][FP],[voltage unstable] [testing] ??,[battery voltage]
C87222,DP82,https://github.com/jsk-ros-pkg/jsk_common/commit/a63ced4051a95399ec6d1f0cb564f760092af147,Commits,jsk_common,6d1f0cb564f760092af147': 'add hardware id tp battery capacity'},[battery info][battery capacity][add hardware id],[battery info] [hardware id?],[provide battery information] 
C82205,DP83,https://github.com/jhu-asco/aerial_autonomy/commit/22f583c2dc304122cf28ac81074d326941d72c10,Commits,aerial_autonomy,is closed\nIt also generates a land event if battery is low'},[battery warning][lower threshold][landing][uav drones],[battery info] [checks uav status],[provide battery information] [power-related events] [threshold]
C82055,DP84,https://github.com/jhu-asco/aerial_autonomy/commit/f861c94c2557008386828e251c1dabf69dcba36e,Commits,aerial_autonomy,"position control\n\nWhen taking off, if low battery, should try to land\nWhen reaching goal, if",[should land when battery is low][fixed],[bug fix] [takeoff] [land if battery is smaller than x],[battery_percent] [threshold] [test] [abort_mission] [safety]
C73332,DP85,https://github.com/ipa320/cob_robots/commit/40fd5e300e75d5f82fb4f06293c024f360a0910b,Commits,cob_robots,"06293c024f360a0910b': 'added ur10, phidgets, battery monitor, em monitor to robot bringup for raw",[battery info][monitor launch file],[battery info] [battery monitor],[provide battery information] 
C73261,DP86,https://github.com/ipa320/cob_robots/commit/f2e7aecd52b50210a55210fb38eb9f026b0eb514,Commits,cob_robots,7aecd52b50210a55210fb38eb9f026b0eb514': 'use powerstate from phidget node'},[phidget devices plugin][reuse powerstate function],[power functions] [power state],[provide battery information] 
C73016,DP87,https://github.com/ipa320/cob_robots/commit/24d9ddb0d4595ccd7d3520115f1b20ab24a2828d,Commits,cob_robots,5ccd7d3520115f1b20ab24a2828d': 'configurable battery thresholds'},"[battery warning/][setting up warning, error and critical thresholds]",[battery info] [battery thresholds],[configurable battery thresholds]
C70904,DP88,https://github.com/ipa320/cob_robots/commit/a5c9a887d7a45a63f53aa4f05f43911c8729e3a1,Commits,cob_robots,d7a45a63f53aa4f05f43911c8729e3a1': 'enhanced battery monitoring'},[battery info/monitoring],[battery info],[provide battery information] [power-related events] [threshold] [technical debt]
C70875,DP89,https://github.com/ipa320/cob_robots/commit/65f96aacf9a0e8396ad1ad88e4ba2202d94be33e,Commits,cob_robots,96aacf9a0e8396ad1ad88e4ba2202d94be33e': 'add battery and emergency monitor for cob3-6'},[battery monitor][stop due to monitor][launch files],[battery info],[provide battery information] [battery warning]
C70854,DP90,https://github.com/ipa320/cob_robots/commit/a821a4ee9fa077df8cd8eaa986c4c8ab1aee96fa,Commits,cob_robots,c8ab1aee96fa': 'add config for emergency and battery monitor'},[warning thresholds][configuration files],[config] [battery info] [battery monitor],[technical debt] [configurable battery thresholds] [battery warning]
C66043,DP91,https://github.com/ipa320/cob_environment_perception/commit/e2936eec9c64a3d67ba25c60ae53b56d19b0f002,Commits,cob_environment_perception,64a3d67ba25c60ae53b56d19b0f002': 'introduced energy factor'},[cannot code],??,[FP]
ROSD144,DP92,https://discourse.ros.org/t/autoware-reference-platform-working-group-meeting-3/11451,ROSDiscourse,Autoware Reference Platform Working Group Meeting #3,"heng
Requests by Kalray and TierIV
Estimated power consumption : 20-30 Watts (without accelerat",[power consumption info][autoware reference][autocore board],,
ROSD138,DP93,https://discourse.ros.org/t/project-azure-for-kinect-4th-gen-kinect/4729,ROSDiscourse,Project Azure for Kinect (4th gen Kinect),ncy and modulation contrast resulting in low power consumption with overall system power of 225,[power consumption][highest modulation frequency][low consumption][kinect],,
ROSD12,DP94,https://discourse.ros.org/t/using-nuc-with-kobuki/489,ROSDiscourse,Using NUC with Kobuki,was aware of a power solution e.g. external battery that can connect to the Kobuki 19v output AN,[kobuki robot][auto dock][compact computers],,
ROSD101,DP95,https://discourse.ros.org/t/dont-miss-eu-funding-for-ros-developments-via-rosin-ftps-next-cut-off-dates-june-14-sept-13-2019/8999,ROSDiscourse,"Don't miss EU funding for ROS developments via ROSIN FTPs - Next cut-off dates: June 14 & Sept 13, 2019","ent solutions (in terms of computation time, energy consumption) for a specified task. Currently",[topics for future conference][energy consumption][benchmarking][FP],,
ROSA77,DP96,https://answers.ros.org/question/223046/control-8x8-grid-of-rgb-leds-like-raspberry-pi-sense-hat-or-unicorn-hat/,ROSAnswers,Control 8x8 grid of RGB LEDs like Raspberry Pi Sense Hat or Unicorn Hat?,ompletely new to ROS.We have a project where battery power is limited but we need some real-time,[energy efficiency][visualization but rviz][RGB led grid][real-time visualization as energy inefficiency],,
ROSA755,DP97,https://answers.ros.org/question/323055/equip-arduino-based-lawn-mower-with-ros/,ROSAnswers,Equip Arduino based lawn mower with ROS,"(like a fence)
- IMU
- Odometry
- monitoring power consumption of motors (to detect high lawn a",[battery info][monitoring motor power][mowing lawn],,
ROSA74,DP98,https://answers.ros.org/question/218412/shutdown-nodes-from-within-a-ros-node/,ROSAnswers,Shutdown nodes from within a ROS node,"like to achieve is something like this:
Once battery level is below a certain threshold:However I",[shutdown ros nodes][low battery][how to kill nodes],,
