ID,URL,Collection,Title,Contents,DateTime,DateTime
C59785,https://github.com/ipa320/cob_command_tools,Commits,cob_command_tools,89651e6e502d16caa15d6d': 'allow to configure battery monitor notifications'},2017-10-10 13:58:33,1507654713.0
C59596,https://github.com/ipa320/cob_command_tools,Commits,cob_command_tools,e55f8b312fb': 'stop charging mode if no more power_state msgs received'},2016-02-24 19:29:40,1456352980.0
C59588,https://github.com/ipa320/cob_command_tools,Commits,cob_command_tools,641e403456ea1cfa859cc10f7d81': 'configurable battery thresholds'},2016-02-22 14:10:31,1456161031.0
C59583,https://github.com/ipa320/cob_command_tools,Commits,cob_command_tools,Merge pull request #130 from ipa-bnm/feature/battery_light_mode\n\nshow charging progress on led,2016-02-19 0:00:00,1455847200.0
C59169,https://github.com/ipa320/cob_command_tools,Commits,cob_command_tools,bae8dc2819e1a465cd1b1cf52b6ecb22ff6b3': 'cob_battery for dashboard'},2013-07-05 14:17:55,1373044675.0
C59120,https://github.com/ipa320/cob_command_tools,Commits,cob_command_tools,793e09b426331c16aa00a22c60568271': 'enhanced battery monitoring'},2012-12-05 17:28:51,1354735731.0
C56381,https://github.com/inomuh/evapi_ros,Commits,evapi_ros,5cd6a4820df1c81b341c689da7371b4dc1f8a': 'add battery sensor'},2016-02-04 16:07:56,1454609276.0
C56353,https://github.com/inomuh/evapi_ros,Commits,evapi_ros,1c52e8bbb234a40e9a9359187': 'add voltage and battery msgs'},2015-11-27 14:26:25,1448641585.0
C49863,https://github.com/g/grizzly,Commits,grizzly,"0d2ff308b772275e': 'Added dead reckoning and energy estimation nodes, fixed up fan control, faul",2013-02-06 0:00:00,1360116000.0
C44705,https://github.com/ethz-asl/asctec_mav_framework,Commits,asctec_mav_framework,3dfeb': 'adapted buzzer and main to have the battery warning voltage adjustable'},2012-06-26 19:32:42,1340749962.0
C44653,https://github.com/ethz-asl/asctec_mav_framework,Commits,asctec_mav_framework,9040daccccffd8c5fa9f2f3041aa63b2aeb': 'added battery warnings to rosout'},2012-02-26 10:39:04,1330263544.0
C44596,https://github.com/ethz-asl/asctec_mav_framework,Commits,asctec_mav_framework,0e9eacfad7e1b7af981ae4f7a9c82affb9e7': 'made battery warning voltage adjustable'},2011-10-11 1:45:28,1318308328.0
C41326,https://github.com/elpimous/Neo_robot,Commits,Neo_robot,9ae72cd7fb7ee8afa061992dd2': 'A package with energy vocal alerts.'},2015-02-12 9:11:13,1423739473.0
C40942,https://github.com/ekumenlabs/tangobot,Commits,tangobot,e pull request #127 from jubeira/dev/publish_battery\n\nPublishing robot and device battery'},2017-09-06 0:00:00,1504666800.0
C40941,https://github.com/ekumenlabs/tangobot,Commits,tangobot,7545c2d488d94dcd2b704eafe50b356': 'Splitting battery publishers into two nodes'},2017-09-05 21:37:51,1504658271.0
C40940,https://github.com/ekumenlabs/tangobot,Commits,tangobot,b88c3bb3f8fecc07901ce5599071c170bb': 'Adding battery publisher node\n- It has to be split into tw,2018-07-06 0:00:00,1530846000.0
C40493,https://github.com/edinferno/edinferno,Commits,edinferno,"er class, publishes if Nao is un/plugged and battery charge'}",2015-05-15 19:56:33,1431730593.0
C376,https://github.com/aau-ros/aau_multi_robot,Commits,aau_multi_robot,"Revert ""added new strategy which checks the battery state""\n\nThis reverts commit af8a517e1cdaeb",2015-03-23 0:00:00,1427079600.0
C373,https://github.com/aau-ros/aau_multi_robot,Commits,aau_multi_robot,"Revert ""Robots now drive back to home when energy level is at 50%.""\n\nThis reverts commit b3a",2015-04-09 0:00:00,1428548400.0
C371,https://github.com/aau-ros/aau_multi_robot,Commits,aau_multi_robot,"vert ""add a function that calculates the the energy consumption""\n\nThis reverts commit ba22c0f5",2015-04-22 0:00:00,1429671600.0
C369,https://github.com/aau-ros/aau_multi_robot,Commits,aau_multi_robot,f0': 'add a function that calculates the the energy consumption\nand the traveled distance so fa,2015-04-22 0:00:00,1429671600.0
C359,https://github.com/aau-ros/aau_multi_robot,Commits,aau_multi_robot,5f193e': 'Robots now drive back to home when energy level is at 50%.\nWhen the energy level is a,2015-04-09 0:00:00,1428548400.0
C356,https://github.com/aau-ros/aau_multi_robot,Commits,aau_multi_robot,434cc': 'added new strategy which checks the battery state'},2015-04-23 9:07:19,1429790839.0
C32998,https://github.com/craftit/DogBotSoftware,Commits,DogBotSoftware,10af912545ca0f0efe8ca': 'added help info for battery operation'},2018-06-29 13:12:46,1530288766.0
C32995,https://github.com/craftit/DogBotSoftware,Commits,DogBotSoftware,Add supply voltage calibration so we can set battery thresholds more accurately.'},2018-06-28 16:48:19,1530215299.0
C29359,https://github.com/CopterExpress/clever,Commits,clever,3a13598fa975dc6e0be9bb7': 'selfcheck.py: add battery voltage checks'},2019-08-29 20:59:05,1567123145.0
C26579,https://github.com/chrisl8/ArloBot,Commits,ArloBot,12777': 'Rewrite Node (web interface) laptop battery check code to be faster and cause less load,2016-12-17 0:00:00,1481940000.0
C26112,https://github.com/chrisl8/ArloBot,Commits,ArloBot,messsages from arlobot_safety and add laptop battery level monitoring.'},2015-02-09 23:08:30,1423530510.0
C24246,https://github.com/bluesat/owr_software,Commits,owr_software,eb3c8b1b7d01322913c6ca993d8e47a2df6': 'Added battery voltage reading.'},2015-08-27 11:07:58,1440684478.0
C23929,https://github.com/bluesat/owr_software,Commits,owr_software,"c834927dfe1a': 'For #28 and #29, intergrated battery level ros_msgs into the gui. Created test da",2014-12-13 0:00:00,1418436000.0
C216380,https://github.com/yujinrobot/kobuki,Commits,kobuki,"63334234d683f9ed71d2bd': 'charging state for battery diagnostics, not just state, maybe android n",2013-08-13 0:00:00,1376362800.0
C216290,https://github.com/yujinrobot/kobuki,Commits,kobuki,23aa2d170e052dd2060349917fb1d71': 'Make test_battery works again'},2012-12-09 3:26:58,1355030818.0
C216272,https://github.com/yujinrobot/kobuki,Commits,kobuki,"ode : Updated DockDriveControl,py to display battery level and charging state of robot and laptop",2012-12-08 11:09:07,1354972147.0
C215894,https://github.com/yujinrobot/kobuki,Commits,kobuki,f19067d45398830085da0ffa122167bd9': 'Include battery charge percent.'},2012-06-05 2:19:38,1338873578.0
C215846,https://github.com/yujinrobot/kobuki,Commits,kobuki,0bcbbd0473ee0027994ea017d107': 'Added laptop battery publisher into minimal.launch.'},2012-05-18 11:08:20,1337350100.0
C215844,https://github.com/yujinrobot/kobuki,Commits,kobuki,05cc9543c43d38': 'kobuki_node : Added laptop battery state publisher.'},2012-05-18 10:33:44,1337348024.0
C215744,https://github.com/yujinrobot/kobuki,Commits,kobuki,2': 'parameter configuration for level based battery.'},2012-04-17 1:39:50,1334637590.0
C215720,https://github.com/yujinrobot/kobuki,Commits,kobuki,1bd9a40caaed06587c50736bece5af956': 'kobuki: battery status diagnostics.'},2012-04-14 17:41:31,1334436091.0
C215532,https://github.com/youbot/youbot-ros-pkg,Commits,youbot-ros-pkg,b983d47bd6f674fdd442672': 'check also if one battery cell exceeded the minimum voltage level'},2013-10-09 5:58:01,1381309081.0
C215476,https://github.com/youbot/youbot-ros-pkg,Commits,youbot-ros-pkg,077389346dca5d562f93672dc07a4f': 'add youbot battery monitor'},2012-11-30 12:11:14,1354284674.0
C21401,https://github.com/BCLab-UNM/SwarmBaseCode-ROS,Commits,SwarmBaseCode-ROS,Integral constant a little to help with low battery state and attempting to aline to a target bl,2016-12-19 22:25:07,1482193507.0
C213219,https://github.com/whoenig/crazyflie_ros,Commits,crazyflie_ros,da887dd99c655c669': 'add sensor readings for battery'},2014-10-29 5:50:53,1414569053.0
C212740,https://github.com/vortexntnu/rov-control,Commits,rov-control,tead of set zero. Do this to avoid excessive power usage after shutdown.'},2017-06-24 3:35:51,1498286151.0
C210983,https://github.com/uwreact/frc_control,Commits,frc_control,b936cc2c6ed6d19a344': 'Add widget to control battery voltage display'},2019-06-25 15:46:01,1561488361.0
C210864,https://github.com/uwreact/frc_control,Commits,frc_control,f67deb07': 'Add dedicated match time msg and battery voltage'},2019-03-21 5:19:15,1553156355.0
C210036,https://github.com/utexas-bwi/segbot,Commits,segbot,d4090': 'added additional flexability to the battery_diagnostics sendmail node that will now allo,2016-05-24 23:00:00,1464141600.0
C207670,https://github.com/uf-mil/SubjuGator,Commits,SubjuGator,cf555c992ddce14ba8628fd548': 'THRUSTERS: add power to ThrusterStatus msg\n\n* Also update msg f,2017-07-14 23:00:00,1500084000.0
C207315,https://github.com/uf-mil/SubjuGator,Commits,SubjuGator,"67e19505609f31a2a8a6': 'ALARMS: Add variable battery voltage alarms, fix height_over_bottom typo'",2017-01-10 19:43:00,1484084580.0
C205977,https://github.com/uf-mil/NaviGator,Commits,NaviGator,1807ba2687fcf91b241ddbfea7': 'LAUNCH: launch battery monitor with motor controllers'},2018-02-09 0:24:53,1518143093.0
C205976,https://github.com/uf-mil/NaviGator,Commits,NaviGator,e if we have >0 measurements\n\n* fixes auto battery low kill on startup'},2018-02-08 23:00:00,1518138000.0
C205536,https://github.com/uf-mil/NaviGator,Commits,NaviGator,be1e322a2f0ab3': 'TOOLS: add tool to publish voltage and wrench to rviz'},2016-11-13 23:00:00,1479085200.0
C205325,https://github.com/uf-mil/NaviGator,Commits,NaviGator,24775c6e45e310220dc8f21a47d0275': 'GUI: Made battery alarm triggers rosparams and added voltage a,2016-10-21 23:00:00,1477098000.0
C204914,https://github.com/uf-mil/NaviGator,Commits,NaviGator,c660b91b2e6541a22': 'SENSOR_CONTROL: Added a battery voltage monitor and alarm'},2016-08-25 21:49:25,1472172565.0
C202217,https://bitbucket.org/udg_cirs/cola2_core,Commits,cola2_core,997394bebfc7db187480ef682266e498abc': 'Added voltage diagnostics for completing VehicleStatus,0000-00-00 00:00:00,0
C199079,https://github.com/turtlebot/turtlebot,Commits,turtlebot,"9095eb46c622dc7ebc1e66b6bf': ""rewound laptop battery power checking (kobuki's used an earlier ver",2012-09-26 23:00:00,1348711200.0
C199012,https://github.com/turtlebot/turtlebot,Commits,turtlebot,b38aca521ed2bc8c40393b0a8': 'adding critical battery level in full mode restart 15% battery will,2011-12-11 23:00:00,1323651600.0
C198708,https://github.com/turtlebot/turtlebot,Commits,turtlebot,dc7042a1252551884002ebacb4cf675038': 'laptop battery status diagnostics'},2011-02-26 21:10:41,1298765441.0
C188833,https://github.com/start-jsk/rtmros_common,Commits,rtmros_common,2bee177c1d216f43d9cd9499c99a2319aad75': 'add power indicator'},2012-09-13 13:51:11,1347555071.0
C186229,https://github.com/sjtu-automatic-maritime-system/Sailboat-Ros,Commits,Sailboat-Ros,9687457d723f1a1473d7dfb96648d44bd7987': 'add voltage'},2017-07-13 23:00:00,1499997600.0
C185463,https://github.com/sigmaai/self-driving-golf-cart,Commits,self-driving-golf-cart,osbag record.\n\nexamine computer strain and power consumption'},2019-04-11 23:00:00,1555034400.0
C180069,https://github.com/sbrodeur/ros-icreate-bbb,Commits,ros-icreate-bbb,"ization\n\n- Added visualization support for battery charge (mAh and percentage),\nand battery st",2016-10-03 23:00:00,1475546400.0
C178985,https://github.com/RoverRobotics/rr_openrover_basic,Commits,rr_openrover_basic,5e1d76d3e784ed384bf37d41e652e39b3': 'Add new power info to diagnostics'},0000-00-00 00:00:00,0
C178984,https://github.com/RoverRobotics/rr_openrover_basic,Commits,rr_openrover_basic,8894a44812c893d5dd6b9ba2fc886c70b96be': 'Add battery current and battery voltage to OpenRover'},0000-00-00 00:00:00,0
C178952,https://github.com/RoverRobotics/rr_openrover_basic,Commits,rr_openrover_basic,d311498faf1f00553939bbf2': 'Added data about battery health and status'},0000-00-00 00:00:00,0
C178729,https://github.com/rospilot/rospilot,Commits,rospilot,fc6df0ceb6ebb83b242b7708c': 'Add support for battery voltage monitoring'},2017-11-05 21:36:23,1509924983.0
C177948,https://github.com/rosflight/rosflight,Commits,rosflight,9d98e2ddf6c7595bee04ecf87da06414bc9ad': 'Add battery monitor support'},2019-12-05 22:32:03,1575595923.0
C177946,https://github.com/rosflight/rosflight,Commits,rosflight,e64f5b9172bb33c8f28ee7527': 'Add support for battery monitor messages'},2019-11-18 21:47:58,1574124478.0
C174490,https://github.com/ros/diagnostics,Commits,diagnostics,e5bdb9f5ad571e9f6744a4ba267f8880c3b5f': 'Add voltage sensor support'},2014-11-26 3:40:16,1416980416.0
C173916,https://github.com/ros/diagnostics,Commits,diagnostics,2a018b75046ef272fffeba649aca2': 'Fix type on battery notify call'},2009-03-10 7:02:20,1236679340.0
C16806,https://github.com/autowarefoundation/autoware,Commits,autoware,9eb90a73fe242f3711406c4c5a57f744837d1': 'add battery charging state (#2256)\n\nSigned-off-by: Azu,2019-03-29 23:00:00,1553911200.0
C16802,https://github.com/autowarefoundation/autoware,Commits,autoware,\n* Add bettery charge [%] topic -> /vehicle/battery\r\n\r\nSigned-off-by: Akihito Ohsato <aohsat,2019-03-24 23:00:00,1553479200.0
C157802,https://github.com/ros-interactive-manipulation/pr2_object_manipulation,Commits,pr2_object_manipulation,1a9a1f483141befdb9d2d24a347dfaf1f28': 'added battery level text'},2012-11-13 3:08:22,1352783302.0
C156794,https://github.com/ros-industrial/motoman,Commits,motoman,r the motion.\nFixed enabling servos when in energy-savings mode.\nRemoved extra task creation w,2017-03-08 23:00:00,1489024800.0
C156793,https://github.com/ros-industrial/motoman,Commits,motoman,er - Update\n\nFixed enabling servos when in energy-savings mode.\nRemoved extra task creation w,2017-03-08 23:00:00,1489024800.0
C156745,https://github.com/ros-industrial/motoman,Commits,motoman,"from Rosen Diankov (Mujin):\n> Detection of ""energy savings"" mode.\n> Fix support for R3 and R4",2016-10-05 23:00:00,1475719200.0
C150820,https://github.com/ROBOTIS-GIT/turtlebot3,Commits,turtlebot3,e2a0d6ee9dc0fe0eb708d414f10348a76c2': 'added battery voltage msg pub'},2016-12-13 12:21:21,1481638881.0
C150819,https://github.com/ROBOTIS-GIT/turtlebot3,Commits,turtlebot3,48b19b093db61947a76562fa43087b44542': 'added battery voltage msg and info'},2016-12-13 6:22:20,1481617340.0
C148825,https://github.com/robotican/lizi,Commits,lizi,0200771f8c926609d456c10b70019bb0e': 'publish battery on any state'},2018-11-04 11:07:06,1541336826.0
C146816,https://github.com/RoboJackets/igvc-software,Commits,igvc-software,ng in inaccurate imu readings\r\n\r\n* added battery diagnostics\r\n\r\n* wrote analyser for sens,2018-11-04 23:00:00,1541379600.0
C146476,https://github.com/RoboJackets/igvc-software,Commits,igvc-software,32b2d916a6a431a74cd': 'add comments. Clarify battery avg calculation'},2019-03-19 4:38:40,1552981120.0
C146149,https://github.com/RoboJackets/igvc-software,Commits,igvc-software,416cd1881961dcf93d70': 'fixed issue with low battery warning never publishing'},2018-05-26 2:41:37,1527313297.0
C145095,https://github.com/RoboJackets/igvc-software,Commits,igvc-software,3e9f813086547a4c27b57f0c9dfc8485d4bb': 'Adds battery monitor to dashboard.\nChanges layout of das,2015-05-10 23:00:00,1431309600.0
C138236,https://github.com/RCPRG-ros-pkg/elektron_robot,Commits,elektron_robot,2da803968e37933cd2bad': 'Sound indication of battery lvl'},2011-07-27 11:48:55,1311778135.0
C138233,https://github.com/RCPRG-ros-pkg/elektron_robot,Commits,elektron_robot,929a9174faf9928b68ddd1cffe8c66815504': 'Main battery monitor'},2011-07-26 15:26:50,1311704810.0
C138176,https://github.com/RCPRG-ros-pkg/elektron_robot,Commits,elektron_robot,b77683b85b036914ae12e1dbc681b00a9a': 'Laptop battery monitor'},2011-06-11 16:32:33,1307820753.0
C129080,https://github.com/pantor/ros-control-center,Commits,ros-control-center,52e6632c2fff6b7bb813aaf0673da666b8476c44': 'battery status formatting'},2015-11-05 16:09:51,1446746991.0
C129079,https://github.com/pantor/ros-control-center,Commits,ros-control-center,6e847f1910f53a01893045d8ba3a4b1a62a95653': 'battery status percentage'},2015-11-05 12:21:59,1446733319.0
C129076,https://github.com/pantor/ros-control-center,Commits,ros-control-center,"32eef4d274aae34f760512d437ae20e8d888e28d': 'battery status bar, fixed undefined error'}",2015-11-03 13:11:55,1446563515.0
C129066,https://github.com/pantor/ros-control-center,Commits,ros-control-center,"8f00fa6d4edfe6667be018197': 'new screenshot, battery view, better overflow'}",2015-10-29 13:12:40,1446131560.0
C128629,https://github.com/pandora-auth-ros-pkg/pandora_ros_pkgs,Commits,pandora_ros_pkgs,11c8df50c054b7292d76762e3d8fe8db1f2e7': 'Add battery voltage validity check (>12V)'},2015-07-07 23:00:00,1436320800.0
C12664,https://github.com/AutonomyLab/create_autonomy,Commits,create_autonomy,3': 'Move ChargingState publisher with other battery state information'},2016-04-02 18:35:18,1459632918.0
C126274,https://github.com/OUXT-Polaris/robotx_core,Commits,robotx_core,f7583729c6be154a5ddbb54c9be266f5c6c7f': 'add battery_monitor_driver_node'},2018-12-04 14:36:48,1543941408.0
C12622,https://github.com/AutonomyLab/create_autonomy,Commits,create_autonomy,onomyLab/charge-ratio\n\nCompute and publish battery charge ratio'},2016-03-24 23:00:00,1458871200.0
C12621,https://github.com/AutonomyLab/create_autonomy,Commits,create_autonomy,f15dbe012370226426004': 'Compute and publish battery charge ratio'},2016-03-24 19:56:56,1458860216.0
C12607,https://github.com/AutonomyLab/create_autonomy,Commits,create_autonomy,Merge pull request #9 from AutonomyLab/feat-battery\n\nAdd battery info topics'},2016-03-16 23:00:00,1458180000.0
C12605,https://github.com/AutonomyLab/create_autonomy,Commits,create_autonomy,fbdf19fb33e73a1426815d2f7aece8a621c65': 'Add battery info support'},2016-03-16 18:17:45,1458163065.0
C12507,https://github.com/AutonomyLab/bebop_autonomy,Commits,bebop_autonomy,undant IFrame wait test\n- [Tests] Fixed the battery test issue with Bebop 2\n- Tested with Bebop,2016-03-22 23:00:00,1458698400.0
C118673,https://github.com/mavlink/mavros,Commits,mavros,"1b69cf2176079f5a2c6c88bd2': 'sys_status: Add battery status monitoring\n\nFix #19, partial #16.'}",2014-05-15 23:00:00,1400205600.0
C118415,https://github.com/markusk/minibot,Commits,minibot,e27e9ea8f7db1d2d0c915': 'Added piezo beep if battery is empty.'},2018-01-08 21:54:58,1515455698.0
C118414,https://github.com/markusk/minibot,Commits,minibot,652f39d88e8eb2da0e154d2844f730a5aa2': 'Added battery percentage check for battery alarm.\nAlso fi,2018-01-08 23:00:00,1515459600.0
C118301,https://github.com/markusk/minibot,Commits,minibot,3ed': 'Added calculation and actions for all battery states'},2017-09-04 20:36:42,1504568202.0
C118262,https://github.com/markusk/minibot,Commits,minibot,7613f9bd0e6fcbbf62f9dcb302fb00': 'Added more battery status fields'},2017-08-23 16:56:56,1503518216.0
C118254,https://github.com/markusk/minibot,Commits,minibot,6eabd5cc87e7f1e28fd7415b78': 'Added start of battery_publisher'},2017-08-21 21:44:36,1503362676.0
C117940,https://github.com/markusk/minibot,Commits,minibot,a4dee2': 'initial commit. will start the new battery status OLED script'},2017-05-23 20:55:50,1495583750.0
C117926,https://github.com/markusk/minibot,Commits,minibot,cf5d67351df12a587676741e9a535598c21': 'Added battery LCD test. Voltage reading and display.'},2017-05-06 19:57:42,1494111462.0
C117923,https://github.com/markusk/minibot,Commits,minibot,97c859630621ff80e9520bbe51': 'Now displaying battery voltage'},2017-05-06 19:31:46,1494109906.0
C117832,https://github.com/markusk/minibot,Commits,minibot,591466be3748fb4': 'changed code to work with battery service'},2017-03-19 22:45:38,1489974338.0
C117771,https://github.com/markusk/minibot,Commits,minibot,de28': 'Added AD converter code for checking battery voltage'},2017-03-05 20:08:45,1488755325.0
C113935,https://github.com/kuka-isir/cart_opt_ctrl,Commits,cart_opt_ctrl,1e4b5cbf47e814aa3f6f95': 'Adding the kinetic energy constraint'},2017-04-20 10:17:36,1492694256.0
C113689,https://github.com/kucars/haptic_teleoperation,Commits,haptic_teleoperation,ooler will not send data to the robot if the battery is less that 40 %.'},2014-06-07 6:24:49,1402133089.0
C103060,https://github.com/jsk-ros-pkg/jsk_robot,Commits,jsk_robot,ddce8ab6492c1': 'Increase speaking volume in battery_warning.py'},2019-12-04 4:54:01,1575446041.0
C103026,https://github.com/jsk-ros-pkg/jsk_robot,Commits,jsk_robot,"84aec24a561b41': ""Merge branch 'master' into battery_warning""}",2019-06-05 23:00:00,1559786400.0
C102886,https://github.com/jsk-ros-pkg/jsk_robot,Commits,jsk_robot,7cb7f2a203f34bef77343b9b5f39ea9': 'add speak battery app'},2019-10-06 13:14:16,1570378456.0
C102885,https://github.com/jsk-ros-pkg/jsk_robot,Commits,jsk_robot,094154bb891d4dbe15951a43c3a4025fef93e': 'add battery_warning in fetch_bringup.launch'},2019-10-02 15:20:51,1570040451.0
C102881,https://github.com/jsk-ros-pkg/jsk_robot,Commits,jsk_robot,5b19f9929d7c132333cdeaea9d59ee299acac898': 'battery warning init'},2019-10-02 13:12:40,1570032760.0
C102724,https://github.com/jsk-ros-pkg/jsk_robot,Commits,jsk_robot,3517919292109f': 'Speak warning message when battery voltage is low'},2019-05-22 7:53:34,1558522414.0
C102719,https://github.com/jsk-ros-pkg/jsk_robot,Commits,jsk_robot,c23a399d9a701afec90dee08f8ef403c8277e': 'new battery_warning'},2018-06-30 12:42:11,1530373331.0
C101392,https://github.com/jsk-ros-pkg/jsk_robot,Commits,jsk_robot,1be4d1815a2be2b1a747f42e76e67685ef': 'Record battery info before pwer go off'},2015-10-18 14:27:54,1445185674.0
C101049,https://github.com/jsk-ros-pkg/jsk_robot,Commits,jsk_robot,"iwunau/master\n\nspeak the percentage of the battery with min charge and it's id""}",2015-05-15 23:00:00,1431741600.0
C101046,https://github.com/jsk-ros-pkg/jsk_robot,Commits,jsk_robot,3de0f05513e65': 'speak the percentage of the battery with min charge'},2015-05-18 11:13:30,1431958410.0
C100485,https://github.com/jsk-ros-pkg/jsk_robot,Commits,jsk_robot,"""Merge pull request #106 from garaemon/speak-battery-remaining\n\nSpeak the remaining percentages",2014-10-15 23:00:00,1413424800.0
C100484,https://github.com/jsk-ros-pkg/jsk_robot,Commits,jsk_robot,"9a': ""Speak the remaining percentages of the battery if it's not charged""}",2014-10-15 14:09:38,1413392978.0
C100292,https://github.com/jsk-ros-pkg/jsk_robot,Commits,jsk_robot,bc2720c0eda77': 'add script to visualize pr2 battery'},2014-06-04 9:07:33,1401883653.0
GitIssue997,https://github.com/mavlink/mavros/issues/275,GitHubIssues,"Without GPS, Does the /mavros/setpoint_position/local work?","1
 name: mavros: Battery
 message: Low voltage
 hardware_id: /dev/ttyUSB0:57600
 v","Apr 16, 2015",1429153200.0
GitIssue957,https://github.com/uf-mil/NaviGator/issues/289,GitHubIssues,Create curses based status/debug TUI,"based status GUI which displays things like battery voltage, autonomous/remote control mode, etc","Jan 19, 2018",1516327200.0
GitIssue928,https://github.com/yujinrobot/kobuki/issues/64,GitHubIssues,Implement drive_mode,Just use our api or the cmd_vel.Robot can be charged without modeRobot can be work during charg,"Apr 14, 2012",1334372400.0
GitIssue926,https://github.com/turtlebot/turtlebot/issues/102,GitHubIssues,Battery info not working on reference laptop?,"Need to dig more on this, but looks like the battery reader script needs a review. On ASUS laptop","Oct 4, 2013",1380855600.0
GitIssue925,https://github.com/sbrodeur/ros-icreate-bbb/issues/18,GitHubIssues,Convert rosbag files to video files for visualization,"odometry topic).Battery voltage, current and charge information.Collision sensors (range and sw","Oct 5, 2016",1475636400.0
GitIssue923,https://github.com/jsk-ros-pkg/jsk_robot/issues/348,GitHubIssues,To-do List,ffnessの問題[ ]It allows you to charge Pepper’s battery (see Chapter 7.6 Charging).It also deactivat,"Jun 12, 2015",1434078000.0
GitIssue920,https://github.com/mavlink/mavros/issues/1284,GitHubIssues,sensor_msgs::BatteryState percentage with a negative value,"s or request features.
When I am reading the battery status (/mavros/battery -- see below) I noti","Jul 27, 2019",1564196400.0
GitIssue916,https://github.com/whoenig/crazyflie_ros/issues/27,GitHubIssues,Launch crazyflie that is turned off,"pplication and one of the CFs had ran out of battery and died, or if I would just like to remove","Jan 26, 2016",1453773600.0
GitIssue913,https://github.com/yujinrobot/kobuki/issues/137,GitHubIssues,Battery charge set to 100% just after connecting it to the adapter,"This happens because the robot signals ""charged"" for about a second just after connecting","Jun 20, 2012",1340161200.0
GitIssue91,https://github.com/ROBOTIS-GIT/turtlebot3/issues/505,GitHubIssues,Reg:Couldn't determine robot's pose associated with laser scan - burger,"NFO] [1572526181.378821]: Setup publisher on battery_state [sensor_msgs/BatteryState]
[INFO] [157","Oct 22, 2019",1571713200.0
GitIssue907,https://github.com/turtlebot/turtlebot/issues/54,GitHubIssues,Break out linux_hardware,why dashboard is using topics for the laptop battery. It uses the diagnostics for everything else,"Feb 6, 2013",1360116000.0
GitIssue906,https://github.com/UBC-Thunderbots/Software/issues/223,GitHubIssues,Handle Robot Charge state,"In the old AI, the desired robot charge state (whether the capacitors are charged,","Jan 14, 2019",1547431200.0
GitIssue897,https://github.com/ROBOTIS-GIT/turtlebot3/issues/205,GitHubIssues,"Using 1800 batteries, will the opencr board be damaged when the voltage is unstable?","is no problem. After accessing this 1800mah battery, after running for a period of time, it auto","May 15, 2018",1526353200.0
